1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Baseline (T0S1R1) (mV),Antipeak Amp (T0S1R1) (mV),Time of Antipeak (Trace) (T0S1R1) (ms)
53115-T199-CA1-0005.abf,4,21.0211,-62.0439,0.113554,1069
53115-T208-Sub-0017.abf,4,21.0211,-61.634,-0.153893,862.5
53117-T218-CA1-0006.abf,4,21.0211,-62.2487,-0.098675,1080.8
53117-T220-Sub-0015.abf,4,21.0211,-61.7174,-0.457114,486.4
53117-T223-CA1-0024.abf,4,21.0211,-61.5577,-1.93916,441.8
53119-T209-CA1-0005.abf,4,21.0211,-60.8838,-1.11776,448.9
53119-T211-Sub-0014.abf,4,21.0211,-60.0415,-2.62128,495
53119-T212-Sub-0005.abf,4,21.0211,-60.7959,-5.89522,448.4
53119-T214-Sub-0016.abf,4,21.0211,-61.866,-5.7101,434.3
53123-T225-Sub-0005.abf,4,21.0211,-61.9656,-2.09082,469.9
53123-T226-CA1-0014.abf,4,21.0211,-61.6971,-1.27083,1174.9
53126-T230-Sub-0007.abf,4,21.0211,-59.2867,-0.914296,454.6
53126-T232-Sub-0024.abf,4,21.0211,-60.5822,0.0454853,1358.9
53126-T234-Sub-0037.abf,4,21.0211,-60.0961,-1.20351,1232.1
53127-T237-CA1-0005.abf,4,21.0211,-61.618,-0.139374,1201.2
53127-T240-Sub-0014.abf,4,21.0211,-62.2345,-1.00807,470.1
53129-T246-Sub-0017.abf,4,21.0211,-61.9223,-4.02616,460.6
53173-T182-CA1-0004.abf,4,21.0211,-61.3217,-1.13764,1012
53173-T183-Sub-0013.abf,4,21.0211,-66.3134,-1.32373,473.8
53174-T157-CA1-0011.abf,4,21.0211,-61.7505,-2.83482,468
53174-T158-Sub-0020.abf,4,21.0211,-61.4971,-3.14935,453
53174-T160-Sub-0028.abf,4,21.0211,-60.2877,-0.889843,453.7
53178-T161-CA1-0005.abf,4,21.0211,-64.6826,0.239659,1372
53178-T162-Sub-0020.abf,4,21.0211,-63.7347,-1.63391,469.2
53183-T163-CA1-0007.abf,4,21.0211,-69.8844,0.00934637,1176.3
53186-T168-CA1-0009.abf,4,21.0211,-60.639,-1.22013,718.5
53186-T170-Sub-0022.abf,4,21.0211,-62.0558,-0.30174,863.3
53186-T172-CA1-0032.abf,4,21.0211,-62.265,0.395675,1361.1
53195-T173-Sub-0004.abf,4,21.0211,-60.4718,-2.10955,414.6
53195-T174-CA1-0012.abf,4,21.0211,-61.6568,-0.629604,1269.8
53196-T175-CA1-0005.abf,4,21.0211,-58.7324,-0.410683,1236.8
53203-T176-Sub-0007.abf,4,21.0211,-59.444,-1.61154,464.1
53469-T110-CA1-0005.abf,4,21.0211,-61.8042,-1.60117,1096.8
53470-T111-Sub-0005.abf,4,21.0211,-60.0908,-1.01554,445.4
53470-T112-CA1-0015.abf,4,21.0211,-59.3702,-5.19485,422.8
53474-T116-Sub-0005.abf,4,21.0211,-61.6494,-0.647149,1024.2
53475-T120-CA1-0005.abf,4,21.0211,-59.2611,-2.16062,1309
53475-T121-Sub-0016.abf,4,21.0211,-59.8171,-1.44185,742.4
53479-T129-Sub-0005.abf,4,21.0211,-58.1214,0.00572809,1327.5
53614-T144-Sub-0006.abf,4,21.0211,-62.6055,-1.46104,490.7
53616-T154-Sub-0015.abf,4,21.0211,-59.2952,-1.21103,500.2
54229-T122-Sub-0009.abf,4,21.0211,-70.0734,-0.991898,662.9
54229-T124-Sub-0025.abf,4,21.0211,-60.5049,-0.225092,466.7
54229-T128-CA1-0030.abf,4,21.0211,-61.0222,-0.999659,1174
54234-T133-Sub-0010.abf,4,21.0211,-61.2104,0.103991,1124.3
54238-T135-Sub-0005.abf,4,21.0211,-64.6621,-4.61281,430.1
54240-T140-CA1-0011.abf,4,21.0211,-59.5958,-3.0466,444.8
57446-T256-Sub-0005.abf,4,21.0211,-61.8913,-0.242514,542.1
57446-T257-Sub-0016.abf,4,21.0211,-62.6866,-1.43079,536.9
57449-T258-Sub-0010.abf,4,21.0211,-60.0836,-0.503976,1107.1
