1.4: Copy to Dataset Results,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Mean (T0S1R1) (mV)
53115-T199-CA1-0005.abf,4,21.0211,0.517248
53115-T208-Sub-0017.abf,4,21.0211,0.217474
53117-T218-CA1-0006.abf,4,21.0211,0.49054
53117-T220-Sub-0015.abf,4,21.0211,0.327085
53117-T223-CA1-0024.abf,4,21.0211,-0.193795
53119-T209-CA1-0005.abf,4,21.0211,-0.280809
53119-T211-Sub-0014.abf,4,21.0211,-0.416241
53119-T212-Sub-0005.abf,4,21.0211,0.412411
53119-T214-Sub-0016.abf,4,21.0211,0.000949236
53123-T225-Sub-0005.abf,4,21.0211,-0.505731
53123-T226-CA1-0014.abf,4,21.0211,0.126965
53126-T230-Sub-0007.abf,4,21.0211,0.250061
53126-T232-Sub-0024.abf,4,21.0211,0.541319
53126-T234-Sub-0037.abf,4,21.0211,-0.700995
53127-T237-CA1-0005.abf,4,21.0211,0.593514
53127-T240-Sub-0014.abf,4,21.0211,-0.168544
53129-T246-Sub-0017.abf,4,21.0211,-0.442532
53173-T182-CA1-0004.abf,4,21.0211,-0.166687
53173-T183-Sub-0013.abf,4,21.0211,0.0842615
53174-T157-CA1-0011.abf,4,21.0211,0.613605
53174-T158-Sub-0020.abf,4,21.0211,-0.435296
53174-T160-Sub-0028.abf,4,21.0211,0.112078
53178-T161-CA1-0005.abf,4,21.0211,0.489914
53178-T162-Sub-0020.abf,4,21.0211,-0.0946485
53183-T163-CA1-0007.abf,4,21.0211,0.187886
53186-T168-CA1-0009.abf,4,21.0211,0.0224778
53186-T170-Sub-0022.abf,4,21.0211,0.253059
53186-T172-CA1-0032.abf,4,21.0211,0.713177
53195-T173-Sub-0004.abf,4,21.0211,-0.294009
53195-T174-CA1-0012.abf,4,21.0211,-0.306113
53196-T175-CA1-0005.abf,4,21.0211,0.0238318
53203-T176-Sub-0007.abf,4,21.0211,0.103638
53469-T110-CA1-0005.abf,4,21.0211,-0.617195
53470-T111-Sub-0005.abf,4,21.0211,0.293488
53470-T112-CA1-0015.abf,4,21.0211,0.13976
53474-T116-Sub-0005.abf,4,21.0211,0.367811
53475-T120-CA1-0005.abf,4,21.0211,-1.6689
53475-T121-Sub-0016.abf,4,21.0211,-0.420795
53479-T129-Sub-0005.abf,4,21.0211,0.446722
53614-T144-Sub-0006.abf,4,21.0211,0.303349
53616-T154-Sub-0015.abf,4,21.0211,0.0541004
54229-T122-Sub-0009.abf,4,21.0211,-0.329341
54229-T124-Sub-0025.abf,4,21.0211,0.113992
54229-T128-CA1-0030.abf,4,21.0211,0.098041
54234-T133-Sub-0010.abf,4,21.0211,1.03777
54238-T135-Sub-0005.abf,4,21.0211,-1.09465
54240-T140-CA1-0011.abf,4,21.0211,-0.209179
57446-T256-Sub-0005.abf,4,21.0211,0.442538
57446-T257-Sub-0016.abf,4,21.0211,-0.07338
57449-T258-Sub-0010.abf,4,21.0211,0.803347
57452-T263-Sub-0015.abf,4,21.0211,-0.0553546
57452-T265-Sub-0026.abf,4,21.0211,0.271518
57454-T267-Sub-0017.abf,4,21.0211,0.626976
57455-T270-Sub-0008.abf,4,21.0211,-0.164749
57932-T191-CA1-0007.abf,4,21.0211,0.333359
57933-T195-Sub-0017.abf,4,21.0211,0.434138
57944-T251-Sub-0024.abf,4,21.0211,0.354511
57944-T253-Sub-0033.abf,4,21.0211,0.192762
57944-T255-Sub (probably not sub)-0045.abf,4,21.0211,-0.950133
57944-T301-Sub-0012.abf,4,21.0211,-0.248151
53206-T307-Sub-0007.abf,4,21.0211,0.422331
53206-T308-CA1-0017.abf,4,21.0211,-0.952222
53208-T309-Sub-0006.abf,4,21.0211,0.297172
53208-T310-Sub-0016.abf,4,21.0211,0.567972
53208-T311-CA1-0026.abf,4,21.0211,0.0527613
53208-T312-Sub-0036.abf,4,21.0211,0.242356
53209-T313-CA1-0007.abf,4,21.0211,-0.126472
53209-T314-Sub-0016.abf,4,21.0211,-0.7431
53209-T315-CA1-0026.abf,4,21.0211,-0.0632652
53456-T94-Sub-0007.abf,4,21.0211,0.406483
53458-T95-CA1-0005.abf,4,21.0211,0.267635
53458-T96-CA1-0015.abf,4,21.0211,-0.157301
53463-T105-CA1-0006.abf,4,21.0211,0.330904
53463-T106-Sub-0024.abf,4,21.0211,0.0115862
53464-T107-Sub-0006.abf,4,21.0211,0.282873
57457-T274-CA1-0005.abf,4,21.0211,-1.1785
57457-T277-CA1 (DG)-0014.abf,4,21.0211,0.687704
57459-T279-Sub-0006.abf,4,21.0211,0.132292
57459-T280-Sub-0015.abf,4,21.0211,-1.49547
57459-T281-Sub-0024.abf,4,21.0211,-0.0925293
57460-T306-Sub-0009.abf,4,21.0211,-1.8989
57461-T282-Sub-0005.abf,4,21.0211,0.0279289
57461-T283-Sub-0014.abf,4,21.0211,-0.146738
57461-T284-Sub-0023.abf,4,21.0211,0.184512
57461-T285-Sub-0032.abf,4,21.0211,0.491353
57464-T201-Sub-0025.abf,4,21.0211,-0.164891
57464-T286-Sub-0005.abf,4,21.0211,0.654789
57464-T294-Sub-0034.abf,4,21.0211,-0.390711
57465-T297-Sub-0008.abf,4,21.0211,1.15272
57465-T298-CA1-0018.abf,4,21.0211,0.159895
57465-T299-Sub-0029.abf,4,21.0211,-0.386234
57465-T300-CA1-0039.abf,4,21.0211,0.247167
58513-T317-Sub-0007.abf,4,21.0211,0.0754248
58513-T318-CA1-0016.abf,4,21.0211,0.357644
58514-T320-CA1-0006.abf,4,21.0211,0.258316
58514-T322-Sub-0015.abf,4,21.0211,0.0127877
58515-T323-CA1-0005.abf,4,21.0211,0.139422
58515-T324-Sub-0015.abf,4,21.0211,0.435778
58517-T325-Sub-0005.abf,4,21.0211,0.0172884
58517-T326-Sub-0014.abf,4,21.0211,-0.868208
58518-T327-CA1-0006.abf,4,21.0211,0.0282912
58518-T333-CA1-0024.abf,4,21.0211,-0.326816
58518-T335-Sub-0033.abf,4,21.0211,0.447461
58520-T336-Sub-0006.abf,4,21.0211,-0.550817
58525-T338-CA1-0005.abf,4,21.0211,0.0999398
58525-T339-Sub-0025.abf,4,21.0211,0.00566225
58525-T340-CA1-0034.abf,4,21.0211,0.473799
58525-T341-Sub-0042.abf,4,21.0211,0.0925868
58526-T342-Sub-0007.abf,4,21.0211,0.270835
58526-T343-Sub-0019.abf,4,21.0211,0.56925
58526-T344-Sub-0028.abf,4,21.0211,0.161559
61064-T350-CA1-0005.abf,4,21.0211,0.327999
61603-T368-Sub-0005.abf,4,21.0211,-0.552389
61603-T369-CA1-0005.abf,4,21.0211,0.317236
61606-T352-Sub-0005.abf,4,21.0211,-0.207931
61606-T354-CA1-0005.abf,4,21.0211,0.34538
61608-T370-Sub-0007.abf,4,21.0211,-0.652577
61608-T371-Sub-0005.abf,4,21.0211,-0.334516
61611-T364-Sub-0006.abf,4,21.0211,-0.401806
61611-T365-Sub-0006.abf,4,21.0211,0.0172888
61611-T367-CA1-0005.abf,4,21.0211,0.146915
62127-T349-Sub-0005.abf,4,21.0211,-0.891726
53455-T92-CA1-0006.abf,4,21.0211,0.489581
53455-T93-SUB-0016.abf,4,21.0211,0.333302
53459-T100-SUB-0036.abf,4,21.0211,0.488437
53459-T97-CA1-0005.abf,4,21.0211,0.468512
53459-T98-SUB-0016.abf,4,21.0211,-0.0109394
53459-T99-CA1-0026.abf,4,21.0211,-0.625986
53460-T101-CA1-0006.abf,4,21.0211,0.345845
53460-T101-CA1-0007.abf,4,21.0211,0.376136
53460-T102-SUB-0026.abf,4,21.0211,0.273289
53460-T103-SUB-0038.abf,4,21.0211,-0.407892
53460-T104-CA1-0050.abf,4,21.0211,-0.412404
53466-T108-CA1-0005.abf,4,21.0211,0.0831651
53466-T109-CA1-0020.abf,4,21.0211,0.627874
54241-T76-CA1-0005.abf,4,21.0211,0.328617
54241-T77-SUB-0015.abf,4,21.0211,0.24386
54242-T78-CA1-0025.abf,4,21.0211,-0.472171
54244-T79-SUB-0007.abf,4,21.0211,0.0270205
54249-T80-CA1-0006.abf,4,21.0211,0.880952
54252-T81-SUB-0006.abf,4,21.0211,-0.206191
54253-T82-CA1-0018.abf,4,21.0211,-0.0405254
54255-T83-SUB-0007.abf,4,21.0211,0.272394
54255-T84-CA1-0024.abf,4,21.0211,-0.121925
54258-T85-CA1-0007.abf,4,21.0211,1.16368
54259-T86-SUB-0007.abf,4,21.0211,0.337895
54262-T87-CA1-0005.abf,4,21.0211,-1.33532
54264-T88-SUB-0005.abf,4,21.0211,-0.0366885
54265-T89-CA1-0007.abf,4,21.0211,0.11757
54265-T90-SUB-0018.abf,4,21.0211,0.20758
54265-T91-SUB-0029.abf,4,21.0211,-0.770389
53116-T198-CA1-0005.abf,4,21.0211,-0.96544
53116-T200-SUB-0015.abf,4,21.0211,0.488822
53116-T202-SUB-0025.abf,4,21.0211,-0.221001
53118-T203-SUB-0010.abf,4,21.0211,0.262436
53118-T204-SUB-0020.abf,4,21.0211,0.389449
53118-T205-CA1-0031.abf,4,21.0211,-0.391415
53118-T206-CA1-0043.abf,4,21.0211,0.243202
53118-T207-CA1-0057.abf,4,21.0211,0.491746
53120-T210-SUB-0005.abf,4,21.0211,-0.289432
53120-T213-CA1-0039.abf,4,21.0211,0.484701
53120-T215-CA1-0023.abf,4,21.0211,0.429363
53120-T216-SUB-0033.abf,4,21.0211,0.314676
53122-T217-SUB-0005.abf,4,21.0211,0.220608
53122-T219-CA1-0015.abf,4,21.0211,-1.00683
53122-T221-SUB-0029.abf,4,21.0211,0.209194
53122-T222-SUB-0039.abf,4,21.0211,0.0554898
53122-T224-CA1-0051.abf,4,21.0211,-0.286932
53124-T228-CA1-0011.abf,4,21.0211,-0.0407342
53125-T229-CA1-0008.abf,4,21.0211,0.126341
53125-T231-SUB-0015.abf,4,21.0211,0.265519
53125-T233-CA1-0025.abf,4,21.0211,-0.597163
53125-T235-CA1-0035.abf,4,21.0211,-0.678813
53125-T236-SUB-0045.abf,4,21.0211,0.433439
53125-T238-SUB-0055.abf,4,21.0211,0.613135
53128-T239-SUB-0005.abf,4,21.0211,-0.136625
53128-T241-CA1-0016.abf,4,21.0211,-0.321368
53128-T242-SUB-0026.abf,4,21.0211,0.61562
53128-T244-CA1-0005.abf,4,21.0211,-0.811454
53128-T245-SUB-0015.abf,4,21.0211,0.55871
53177-T156-CA1-0006.abf,4,21.0211,-0.0521561
53177-T158-SUB-0016.abf,4,21.0211,-0.0823104
53177-T159-SUB-0026.abf,4,21.0211,0.171071
53180-T164-SUB-0005.abf,4,21.0211,0.28424
53180-T165-SUB-0017.abf,4,21.0211,-0.0923422
53180-T166-CA1-0027.abf,4,21.0211,-0.432824
53185-T167-SUB-0014.abf,4,21.0211,-0.0227061
53185-T169-CA1-0029.abf,4,21.0211,-0.40096
53199-T171-CA1-0006.abf,4,21.0211,0.0989966
53199-T177-SUB-0017.abf,4,21.0211,0.226346
53199-T178-CA1-0005.abf,4,21.0211,-0.132742
53199-T179-SUB-0015.abf,4,21.0211,-0.163007
53202-T180-CA1-0013.abf,4,21.0211,-0.0479448
53202-T181-SUB-0041.abf,4,21.0211,0.0911185
53446-T153-CA1-0005.abf,4,21.0211,-0.0384984
53446-T155-SUB-0020.abf,4,21.0211,0.256598
54237-T149-CA1-0005.abf,4,21.0211,-0.572477
54237-T150-SUB-0017.abf,4,21.0211,0.00436089
54237-T151-SUB-0027.abf,4,21.0211,-0.132823
54237-T152-CA1-0041.abf,4,21.0211,0.196237
57443-T247-SUB-0033.abf,4,21.0211,0.243263
57443-T248-SUB-0043.abf,4,21.0211,0.103799
57443-T249-CA1-0053.abf,4,21.0211,0.746845
57445-T250-SUB-0007.abf,4,21.0211,0.131673
57445-T252-CA1-0017.abf,4,21.0211,-0.496891
57445-T254-SUB-0031.abf,4,21.0211,-0.551438
57451-T262-SUB-0005.abf,4,21.0211,0.237412
57451-T264-SUB-0015.abf,4,21.0211,-0.443028
57451-T266-CA1-0027.abf,4,21.0211,-0.543067
57453-T268-SUB-0005.abf,4,21.0211,-0.436159
57453-T269-SUB-0025.abf,4,21.0211,-0.0574343
57456-T272-SUB-0006.abf,4,21.0211,-0.0127212
57458-T273-CA1-0005.abf,4,21.0211,1.11755
57458-T275-CA1-0017.abf,4,21.0211,-0.776341
57458-T276-SUB-0030.abf,4,21.0211,0.211935
57458-T278-SUB-0040.abf,4,21.0211,0.133766
57462-T287-SUB-0007.abf,4,21.0211,-0.115761
57462-T288-CA1-0019.abf,4,21.0211,-0.293635
57462-T289-SUB-0030.abf,4,21.0211,-0.308049
57462-T290-CA1-0040.abf,4,21.0211,0.491017
57462-T291-CA1-0051.abf,4,21.0211,0.34584
57462-T292-SUB-0062.abf,4,21.0211,0.133083
57463-T293-CA1-0005.abf,4,21.0211,-0.0334247
57463-T295-SUB-0016.abf,4,21.0211,0.241551
57463-T296-SUB-0030.abf,4,21.0211,0.118328
57468-T302-SUB-0009.abf,4,21.0211,-0.558844
57468-T303-SUB-0020.abf,4,21.0211,-0.0516719
57468-T304-CA1-0030.abf,4,21.0211,0.336445
57468-T305-CA1-0041.abf,4,21.0211,0.0577993
57590-T259-CA1-0015.abf,4,21.0211,0.230084
57590-T260-SUB-0029.abf,4,21.0211,0.207402
57590-T261-CA1-0058.abf,4,21.0211,-1.91176
57930-T185-CA1-0005.abf,4,21.0211,0.432131
57930-T186-SUB-0016.abf,4,21.0211,0.352649
57930-T187-CA1-0026.abf,4,21.0211,0.050322
57930-T188-SUB-0036.abf,4,21.0211,0.245849
57930-T189-SUB-0046.abf,4,21.0211,-0.654537
57931-T190-CA1-0005.abf,4,21.0211,0.474008
