gene_id	gene_name	X442_old_CA1_low	X466_old_SUB_low	T14_new_CA1_high	T14_new_CA1_low	T14_new_CA1_med	T15_new_CA1_low
ENSMUSG00000000001	Gnai3	0	0	33	40	44	82
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	0	0	0	0	0	0
ENSMUSG00000000031	H19	0	0	0	0	0	0
ENSMUSG00000000037	Scml2	0	0	0	0	0	0
ENSMUSG00000000049	Apoh	0	0	0	0	0	0
ENSMUSG00000000056	Narf	0	465	4	12	13	7
ENSMUSG00000000058	Cav2	0	0	2	0	0	1
ENSMUSG00000000078	Klf6	0	0	2	158	187	2
ENSMUSG00000000085	Scmh1	0	243	0	32	24	4
ENSMUSG00000000088	Cox5a	415.914	1368.707	173.826	15.974	19.996	397.889
ENSMUSG00000000093	Tbx2	0	0	0	0	0	0
ENSMUSG00000000094	Tbx4	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	0	0	0	0	0	0
ENSMUSG00000000125	Wnt3	1	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	0	0	0	0	0	0
ENSMUSG00000000127	Fer	214	0	0	19	14	0
ENSMUSG00000000131	Xpo6	35	14	0	11	28	0
ENSMUSG00000000134	Tfe3	0	0	16	0	0	27
ENSMUSG00000000142	Axin2	0	0	0	0	0	0
ENSMUSG00000000148	Brat1	0	104	0	0	0	0
ENSMUSG00000000149	Gna12	0	0	6	0	0	7
ENSMUSG00000000154	Slc22a18	0	0	0	0	0	0
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0	0	0	0	0	0
ENSMUSG00000000167	Pih1d2	0	0	0	0	0	0
ENSMUSG00000000168	Dlat	0	1152	40	56	57	102
ENSMUSG00000000171	Sdhd	20	616	95	1	2	220
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	17.999	6.132	5	54	66.999	15.141
ENSMUSG00000000194	Gpr107	32	0	6	0	0	3
ENSMUSG00000000197	Nalcn	76	1223	8	37	58	28
ENSMUSG00000000202	Btbd17	0	0	10	0	0	21
ENSMUSG00000000204	Slfn4	0	0	0	0	0	0
ENSMUSG00000000214	Th	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	16	0	12	0	0	17
ENSMUSG00000000244	Tspan32	0	0	0	0	0	0
ENSMUSG00000000247	Lhx2	0	1	38	15	18	88
ENSMUSG00000000248	Clec2g	0	0	0	0	0	0
ENSMUSG00000000253	Gmpr	2	380	19	13	11	61
ENSMUSG00000000263	Glra1	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	0	0	0	0	0	12
ENSMUSG00000000275	Trim25	175	0	0	0	0	0
ENSMUSG00000000276	Dgke	30	0	0	0	0	0
ENSMUSG00000000278	Scpep1	0	0	23	27	38	67
ENSMUSG00000000282	Mnt	0	0	0	2	2	0
ENSMUSG00000000290	Itgb2	0	0	0	0	0	0
ENSMUSG00000000295	Hddc2	72	208	4	0	0	9
ENSMUSG00000000296	Tpd52l1	0	318	43	0	0	100
ENSMUSG00000000301	Pemt	0	0	0	0	0	0
ENSMUSG00000000303	Cdh1	0	0	0	0	0	0
ENSMUSG00000000305	Cdh4	1	0	4	0	0	6
ENSMUSG00000000308	Ckmt1	0	1658.999	58	90	88	149
ENSMUSG00000000317	Bcl6b	0	0	0	0	0	0
ENSMUSG00000000318	Clec10a	0	0	0	0	0	0
ENSMUSG00000000320	Alox12	0	0	0	0	0	0
ENSMUSG00000000325	Arvcf	0	0	0	2	7	0
ENSMUSG00000000326	Comt	1.984	235	18	22	31	55
ENSMUSG00000000339	Rtca	32	294	40	26	29	76
ENSMUSG00000000340	Dbt	3	0	0	0	0	0
ENSMUSG00000000346	Dazap2	356	577	101	20	33	253
ENSMUSG00000000355	Mcts1	131	625	17	40	63	51
ENSMUSG00000000359	Rem1	0	0	0	0	0	0
ENSMUSG00000000365	Rnf17	0	0	0	0	0	0
