gene_id	gene_name	X442_old_CA1_low	X466_old_SUB_low	T14_new_CA1_high	T14_new_CA1_low	T14_new_CA1_med	T15_new_CA1_low
ENSMUSG00000000001	Gnai3	0	0	32.997914	65.708078	65.086706	33.984408
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	0	0	0	0	0	0
ENSMUSG00000000031	H19	0	0	0	0	0	0
ENSMUSG00000000037	Scml2	0	0	0	0	0	0
ENSMUSG00000000049	Apoh	0	0	0	0	0	0
ENSMUSG00000000056	Narf	0	64.508726	2.919524	14.352679	14.037667	2.109337
ENSMUSG00000000058	Cav2	0	0	2.417507	0	0	0.502514
ENSMUSG00000000078	Klf6	0	0	1.521414	451.32915	323.084154	0.628401
ENSMUSG00000000085	Scmh1	0	92.613254	0	131.090984	123.425538	22.837576
ENSMUSG00000000088	Cox5a	1213.594529	1895.243819	1167.756139	178.90162	202.142993	1217.510268
ENSMUSG00000000093	Tbx2	0	0	0	0	0	0
ENSMUSG00000000094	Tbx4	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	0	0	0	0	0	0
ENSMUSG00000000125	Wnt3	0.450381	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	0	0	0	0	0	0
ENSMUSG00000000127	Fer	178.078538	0	0	126.554767	23.074894	0
ENSMUSG00000000131	Xpo6	58.50379	8.565574	0	12.969872	29.623889	0
ENSMUSG00000000134	Tfe3	0	0	19.93013	0	0	13.989346
ENSMUSG00000000142	Axin2	0	0	0	0	0	0
ENSMUSG00000000148	Brat1	0	19.37396	0	0	0	0
ENSMUSG00000000149	Gna12	0	0	5.71234	0	0	2.760277
ENSMUSG00000000154	Slc22a18	0	0	0	0	0	0
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0	0	0	0	0	0
ENSMUSG00000000167	Pih1d2	0	0	0	0	0	0
ENSMUSG00000000168	Dlat	0	174.956402	31.935744	73.31286	67.326062	33.654493
ENSMUSG00000000171	Sdhd	25.241271	356.985837	282.095973	4.968975	8.78079	278.723731
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	151.530237	0.58065	2.92411	190.997452	357.940302	4.598118
ENSMUSG00000000194	Gpr107	6.975993	0	3.095941	0	0	0.637116
ENSMUSG00000000197	Nalcn	17.367425	102.481718	3.538744	47.434169	70.47884	5.092286
ENSMUSG00000000202	Btbd17	0	0	20.182199	0	0	17.829623
ENSMUSG00000000204	Slfn4	0	0	0	0	0	0
ENSMUSG00000000214	Th	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	5.247159	0	5.298165	0	0	3.085913
ENSMUSG00000000244	Tspan32	0	0	0	0	0	0
ENSMUSG00000000247	Lhx2	0	0.221546	50.722769	28.621468	30.880936	42.398829
ENSMUSG00000000248	Clec2g	0	0	0	0	0	0
ENSMUSG00000000253	Gmpr	5.400171	164.034147	51.106713	47.922221	36.089725	62.359345
ENSMUSG00000000263	Glra1	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	0	0	0	0	0	2.646407
ENSMUSG00000000275	Trim25	184.463647	0	0	0	0	0
ENSMUSG00000000276	Dgke	11.281609	0	0	0	0	0
ENSMUSG00000000278	Scpep1	0	0	37.121367	71.999051	90.713719	45.221902
ENSMUSG00000000282	Mnt	0	0	0	2.285176	2.063734	0
ENSMUSG00000000290	Itgb2	0	0	0	0	0	0
ENSMUSG00000000295	Hddc2	216.687547	192.521918	18.604643	0	0	26.248632
ENSMUSG00000000296	Tpd52l1	0	221.488982	146.740387	0	0	137.171479
ENSMUSG00000000301	Pemt	0	0	0	0	0	0
ENSMUSG00000000303	Cdh1	0	0	0	0	0	0
ENSMUSG00000000305	Cdh4	0.209041	0	1.979243	0	0	1.221558
ENSMUSG00000000308	Ckmt1	0	715.683439	167.760911	374.70276	325.177081	321.328872
ENSMUSG00000000317	Bcl6b	0	0	0	0	0	0
ENSMUSG00000000318	Clec10a	0	0	0	0	0	0
ENSMUSG00000000320	Alox12	0	0	0	0	0	0
ENSMUSG00000000325	Arvcf	0	0	0	2.723478	7.401747	0
ENSMUSG00000000326	Comt	1.545166	116.728809	32.7508	66.939173	84.25803	41.998931
ENSMUSG00000000339	Rtca	29.814406	126.186588	87.851087	94.862158	94.19078	70.403599
ENSMUSG00000000340	Dbt	1.252879	0	0	0	0	0
ENSMUSG00000000346	Dazap2	238.601421	175.269987	159.810238	52.269906	77.231456	167.332497
ENSMUSG00000000355	Mcts1	293.241703	658.207667	89.202177	358.222952	488.361331	118.154584
ENSMUSG00000000359	Rem1	0	0	0	0	0	0
ENSMUSG00000000365	Rnf17	0	0	0	0	0	0
ENSMUSG00000000374	Trappc10	23.492678	0	1.263407	35.163941	60.477982	2.083452
ENSMUSG00000000378	Ccm2	0	36.963599	2.266172	0	0	1.913662
ENSMUSG00000000381	Wap	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	0	0	3.00022	2.475876	0	7.335568
ENSMUSG00000000385	Tmprss2	0	0	0	0	0	0
ENSMUSG00000000392	Fap	0	0	0	0	0	0
ENSMUSG00000000394	Gcg	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	0	616.769774	142.282307	69.619004	54.545306	171.859418
ENSMUSG00000000402	Egfl6	0	0	0	0	0	0
ENSMUSG00000000409	Lck	0	13.181187	0	42.943605	48.559558	0
ENSMUSG00000000411	Tssk3	0	0	0	0	0	0
ENSMUSG00000000416	Cttnbp2	241.550563	551.497326	71.197076	517.227322	458.900461	39.656313
ENSMUSG00000000420	Galnt1	0	0	12.771819	0	0	10.7223
ENSMUSG00000000435	Myf5	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	14.524826	0.875726	0	27.402735	22.64999	1.112005
ENSMUSG00000000440	Pparg	0	0	0	0	0	0
ENSMUSG00000000441	Raf1	298.115691	1.685557	98.670968	2.432377	3.427598	89.487711
ENSMUSG00000000486	Sept1	0	0	0	163.510182	123.147283	0
ENSMUSG00000000489	Pdgfb	17.089244	0	0	0	0	0
ENSMUSG00000000530	Acvrl1	0	0	0	0	0	0
ENSMUSG00000000531	Grasp	20.522512	0	16.7032	0	0	11.884604
ENSMUSG00000000532	Acvr1b	0	5.932521	0	0	1.073934	0
ENSMUSG00000000538	Tom1l2	61.570339	0	17.905442	47.559571	45.41016	23.274282
ENSMUSG00000000544	Gpa33	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	0	8.952251	6.059816	0	0	8.224167
