Customer ID,SCBL ID,Date received,Sample Submitter,PI,Species,Mouse ID,Location,Firing,Nucleus,Customer Project
T17,PS240001,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53138,CA1,Reg,No,Batch 3
T25,PS240007,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53145,SUB,Reg,Yes,Batch 3
T29,PS240010,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53147,SUB,Bur,Yes,Batch 3
T36,PS240016,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53149,CA1,Reg,Yes,Batch 3
T42,PS240019,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53150,CA1,Reg,No,Batch 3
T51,PS240028,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53155,SUB,Reg,Yes,Batch 3
T62,PS240037,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53167,SUB,Bur,Yes,Batch 3
T73,PS240046,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53114,SUB,Bur,Yes,Batch 3
T129,PS240089,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53479,SUB,Bur,Yes,Batch 3
T130,PS240090,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54232,CA1,Reg,Yes,Batch 3
T131,PS240091,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54232,SUB,Bur,Yes,Batch 3
T132,PS240092,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54233,CA1,Reg,Yes,Batch 3
T134,PS240093,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54233,SUB,Reg,Yes,Batch 3
T135,PS240094,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54238,SUB,Reg,Yes,Batch 3
T136,PS240095,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54235,CA1,Reg,Yes,Batch 3
T88,PS240096,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54264,SUB,Reg,Yes,Batch 3
T137,PS240097,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54235,SUB,Reg,Yes,Batch 3
T138,PS240098,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54235,CA1,Reg,Yes,Batch 3
T139,PS240099,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54235,SUB,Reg,Yes,Batch 3
T141,PS240100,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53612,CA1,Reg,Yes,Batch 3
T142,PS240101,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53612,SUB,Reg,Yes,Batch 3
T143,PS240102,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53612,SUB,Reg,Yes,Batch 3
T145,PS240103,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53451,CA1,Reg,Yes,Batch 3
T146,PS240104,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53454,CA1,Reg,Yes,Batch 3
T147,PS240105,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53454,SUB,Bur,Yes,Batch 3
T149,PS240106,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54237,CA1,Reg,Yes,Batch 3
T150,PS240107,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54237,SUB,Bur,Yes,Batch 3
T151,PS240108,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54237,SUB,Reg,Yes,Batch 3
T152,PS240109,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54237,CA1,Reg,Yes,Batch 3
T100,PS240110,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53459,SUB,Reg,Yes,Batch 3
