gene_id	gene_name	PS240001_53138_CA1_Reg_C_full	PS240007_53145_SUB_Reg_N_full	PS240010_53147_SUB_Bur_N_full	PS240016_53149_CA1_Reg_N_full	PS240019_53150_CA1_Reg_C_full	PS240028_53155_SUB_Reg_N_full	PS240037_53167_SUB_Bur_N_full	PS240046_53114_SUB_Bur_N_full	PS240089_53479_SUB_Bur_N_full	PS240090_54232_CA1_Reg_N_full	PS240091_54232_SUB_Bur_N_full	PS240092_54233_CA1_Reg_N_full	PS240093_54233_SUB_Reg_N_full	PS240094_54238_SUB_Reg_N_full	PS240095_54235_CA1_Reg_N_full	PS240096_54264_SUB_Reg_N_full	PS240097_54235_SUB_Reg_N_full	PS240098_54235_CA1_Reg_N_full	PS240099_54235_SUB_Reg_N_full	PS240100_53612_CA1_Reg_N_full	PS240101_53612_SUB_Reg_N_full	PS240102_53612_SUB_Reg_N_full	PS240103_53451_CA1_Reg_N_full	PS240104_53454_CA1_Reg_N_full	PS240105_53454_SUB_Bur_N_full	PS240106_54237_CA1_Reg_N_full	PS240107_54237_SUB_Bur_N_half	PS240108_54237_SUB_Reg_N_half	PS240109_54237_CA1_Reg_N_half	PS240110_53459_SUB_Reg_N_full
ENSMUSG00000000001	Gnai3	48	0	9	0	0	12	436	0	266	40	50	2	616	41	180	2941	192	0	220	376	97	143	4189	721	828	2193	195	2150	2	2
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	162	246	0	0	0	0	509	1384.638	0	0	0	0
ENSMUSG00000000031	H19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000037	Scml2	0	2	0	0	0	517.999	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	5	0	0	0
ENSMUSG00000000049	Apoh	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	555	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000056	Narf	6	1779	512.985	285	2545	1457	141	5831.998	0	850	75	2088	617	19	629	35	2	1	121	591	44	972	5	1881	3295	1011	101	678	3601	290
ENSMUSG00000000058	Cav2	0	0	1	0	0	1056	6	0	0	276	0	173	1	24	844	1771	0	1336	1510	222	12	1351	62	1847	0	873	0	0	4	0
ENSMUSG00000000078	Klf6	1363	3	53	1	872	4303	2833	1078	0	418	3540	3921.001	7076	12	601	733	3	4154	2	39	228	979	480	4076	660	17	2247	325	3158	4232.962
ENSMUSG00000000085	Scmh1	63	1	1041	1892	5771.027	1341	1025.001	4504.999	20	1	814	643	92	397	9.001	427.002	2972	0	1678	1618	4661.001	12	722.001	1161.001	365	1254	7	1504.999	1527	1
