Customer ID,SCBL ID,Date received,Sample Submitter,PI,Species,Mouse ID,Location,Firing,Nucleus,Customer Project
T153,PS240111,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53446,CA1,Reg,Yes,Simmons Grant 
T155,PS240113,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53446,SUB,Reg,Yes,Simmons Grant 
T156,PS240114,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53177,CA1,Reg,Yes,Simmons Grant 
T157,PS240115,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53174,CA1,Reg,Yes,Simmons Grant 
T158,PS240116,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53177,SUB,Reg,Yes,Simmons Grant 
T159,PS240117,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53177,SUB,Reg,Yes,Simmons Grant 
T160,PS240118,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53174,SUB,Reg,Yes,Simmons Grant 
T164,PS240119,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53180,Sub,Reg,Yes,Simmons Grant 
T165,PS240120,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53180,SUB,Bur,Yes,Simmons Grant 
T166,PS240122,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53180,CA1,Reg,Yes,Simmons Grant 
T163,PS240123,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53183,CA1,Reg,Yes,Simmons Grant 
T168,PS240125,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53186,CA1,Reg,Yes,Simmons Grant 
T167,PS240126,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53185,SUB,Reg,Yes,Simmons Grant 
T170,PS240127,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53186,SUB,Reg,Yes,Simmons Grant 
T171,PS240128,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53199,CA1,Reg,Yes,Simmons Grant 
T169,PS240129,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53185,CA1,Reg,Yes,Simmons Grant 
T174,PS240131,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53195,CA1,Reg,Yes,Simmons Grant 
T177,PS240132,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53199,SUB,Reg,Yes,Simmons Grant 
T178,PS240134,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53199,CA1,Reg,Yes,Simmons Grant 
T179,PS240135,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53199,SUB,Bur,Yes,Simmons Grant 
T180,PS240136,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53202,CA1,Reg,Yes,Simmons Grant 
T181,PS240137,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53202,SUB,Reg,Yes,Simmons Grant 
T184,PS240138,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53173,SUB,Reg,Yes,Simmons Grant 
T185,PS240140,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57930,CA1,Reg,Yes,Simmons Grant 
T186,PS240141,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57930,SUB,Reg,Yes,Simmons Grant 
T187,PS240142,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57930,CA1,Reg,Yes,Simmons Grant 
T188,PS240143,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57930,SUB,Reg,Yes,Simmons Grant 
T190,PS240144,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57931,CA1,Reg,Yes,Simmons Grant 
T192,PS240145,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57931,SUB,Reg,Yes,Simmons Grant 
T193,PS240146,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57931,CA1,Reg,Yes,Simmons Grant 
T194,PS240147,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57931,SUB,Reg,Yes,Simmons Grant 
T191,PS240149,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57932,CA1,Reg,Yes,Simmons Grant 
T195,PS240150,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57933,SUB,Bur,Yes,Simmons Grant 
T196,PS240151,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57934,SUB,Reg,Yes,Simmons Grant 
T197,PS240152,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57934,CA1,Reg,Yes,Simmons Grant 
T199,PS240153,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53115,CA1,Reg,Yes,Simmons Grant 
T198,PS240154,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53116,CA1,Reg,Yes,Simmons Grant 
T200,PS240155,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53116,SUB,Reg,Yes,Simmons Grant 
T202,PS240156,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53116,SUB,Reg,Yes,Simmons Grant 
T208,PS240158,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53115,SUB,Bur,Yes,Simmons Grant 
T204,PS240159,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53118,SUB,Reg,Yes,Simmons Grant 
T205,PS240161,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53118,CA1,Reg,Yes,Simmons Grant 
T206,PS240162,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53118,CA1,Reg,Yes,Simmons Grant 
T207,PS240163,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53118,CA1,Reg,Yes,Simmons Grant 
T210,PS240164,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53120,SUB,Reg,Yes,Simmons Grant 
T212,PS240165,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53119,SUB,Bur,Yes,Simmons Grant 
