1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Peak (T0S1R1) (mV),Time of Peak (Trace) (T0S1R1) (ms),Baseline (T0S1R1) (mV)
53115-T199-CA1-0006.abf,4,34.8211,-0.0799059,2282.6,-60.9553
53115-T208-Sub-0018.abf,4,34.8211,-0.452625,2254.2,-60.8674
53117-T218-CA1-0007.abf,4,34.8211,0.0840911,2225.3,-60.987
53117-T220-Sub-0016.abf,4,34.8211,-0.682397,1432.1,-61.5938
53117-T223-CA1-0025.abf,4,34.8211,-3.02545,1431.8,-61.2853
53119-T209-CA1-0006.abf,4,34.8211,-0.82918,1406.1,-60.267
53119-T211-Sub-0015.abf,4,34.8211,-2.97682,1488.7,-61.3339
53119-T212-Sub-0006.abf,4,34.8211,-6.33602,1425,-60.6094
53119-T214-Sub-0017.abf,4,34.8211,-5.74192,1412.5,-62.9735
53123-T225-Sub-0006.abf,4,34.8211,-2.8244,1497,-59.7061
53123-T226-CA1-0015.abf,4,34.8211,-1.36261,2329.6,-61.3714
53123-T227-Sub-0028.abf,4,34.8211,-2.22296,1415.4,-61.0095
53126-T230-Sub-0009.abf,4,34.8211,-0.879569,1425.7,-60.5116
53126-T232-Sub-0025.abf,4,34.8211,0.0687891,2353.5,-60.8801
53126-T234-Sub-0038.abf,4,34.8211,-1.62023,2264.2,-60.5339
53127-T237-CA1-0006.abf,4,34.8211,-0.123154,2343.5,-61.3799
53127-T240-Sub-0015.abf,4,34.8211,-1.57415,1457.5,-62.6348
53127-T243-Sub-0026.abf,4,34.8211,-0.419295,2313.6,-61.3788
53129-T246-Sub-0018.abf,4,34.8211,-4.28941,1445.5,-61.9948
53173-T182-CA1-0005.abf,4,34.8211,-1.33425,2322,-58.2971
53173-T184-Sub-0020.abf,4,34.8211,-10.7396,1385.7,-60.0001
53174-T157-CA1-0012.abf,4,34.8211,-4.49255,1431,-60.8761
53174-T158-Sub-0021.abf,4,34.8211,-2.83963,1454.8,-61.7457
53174-T160-Sub-0029.abf,4,34.8211,-0.513818,1416.5,-60.7146
53178-T161-CA1-0006.abf,4,34.8211,-0.306825,2312,-64.1056
53178-T162-Sub-0021.abf,4,34.8211,-2.1128,1430.3,-61.6486
53186-T168-CA1-0010.abf,4,34.8211,-0.826345,2168.8,-59.6697
53186-T170-Sub-0024.abf,4,34.8211,-0.623966,2095.7,-61.0521
53186-T172-CA1-0033.abf,4,34.8211,0.139375,2181.7,-60.6557
53195-T173-Sub-0005.abf,4,34.8211,-1.60225,1400.3,-61.1928
53195-T174-CA1-0013.abf,4,34.8211,-1.03694,1495,-60.3949
53196-T175-CA1-0006.abf,4,34.8211,-0.354274,2089.5,-60.4978
53203-T176-Sub-0008.abf,4,34.8211,-1.80686,1423.4,-60.388
53469-T110-CA1-0006.abf,4,34.8211,-0.181921,1806.9,-58.5339
53470-T111-Sub-0006.abf,4,34.8211,-0.478795,1405.4,-60.6479
53470-T112-CA1-0016.abf,4,34.8211,-5.25455,1399.4,-58.9341
53474-T116-Sub-0006.abf,4,34.8211,-1.04288,1455.9,-60.6738
53475-T120-CA1-0006.abf,4,34.8211,-1.65707,1429.5,-59.9681
53475-T121-Sub-0017.abf,4,34.8211,-1.49112,1655.1,-61.5684
53479-T129-Sub-0006.abf,4,34.8211,0.271614,2068,-59.1909
53614-T144-Sub-0007.abf,4,34.8211,-2.85683,1471.4,-60.9046
53616-T154-Sub-0016.abf,4,34.8211,-0.916848,1508.3,-60.1387
54229-T122-Sub-0010.abf,4,34.8211,-2.88694,1405.2,-62.736
54229-T124-Sub-0023.abf,4,34.8211,-0.0667607,1419.3,-61.2227
54229-T128-CA1-0031.abf,4,34.8211,-0.891739,1971,-60.8962
54234-T133-Sub-0011.abf,4,34.8211,-0.569299,2359.9,-62.775
54238-T135-Sub-0006.abf,4,34.8211,-4.77129,1399.7,-65.5819
54240-T140-CA1-0012.abf,4,34.8211,-3.7367,1416.5,-59.0481
57446-T256-Sub-0006.abf,4,34.8211,-0.304448,1654,-61.7276
57446-T257-Sub-0017.abf,4,34.8211,-1.57157,1465,-60.8165
57449-T258-Sub-0011.abf,4,34.8211,-0.367772,2280.4,-59.8434
57452-T265-Sub-0027.abf,4,34.8211,-0.670338,1448.3,-61.4228
57454-T267-Sub-0018.abf,4,34.8211,1.15378,1444.9,-61.6701
57455-T270-Sub-0009.abf,4,34.8211,-0.0504864,2298.7,-60.7405
57932-T191-CA1-0008.abf,4,34.8211,-0.259483,2319.8,-60.9283
57933-T195-Sub-0018.abf,4,34.8211,-2.6286,1429.5,-60.8581
57944-T251-Sub-0025.abf,4,34.8211,-0.542921,1454.7,-59.3326
57944-T253-Sub-0034.abf,4,34.8211,-2.4624,1460.2,-59.8342
57944-T255-Sub (probably not sub)-0046.abf,4,34.8211,-3.51999,1643.6,-61.5435
57944-T301-Sub-0013.abf,4,34.8211,-1.16362,2104.4,-61.4076
53206-T307-Sub-0008.abf,4,34.8211,0.207436,2342.9,-60.266
53206-T308-CA1-0018.abf,4,34.8211,-1.78128,2118.2,-60.6272
53208-T309-Sub-0007.abf,4,34.8211,-1.33049,1419.5,-59.6945
53208-T310-Sub-0017.abf,4,34.8211,0.132214,2226.8,-59.4177
53208-T311-CA1-0027.abf,4,34.8211,-2.09245,1456.7,-60.3669
53208-T312-Sub-0037.abf,4,34.8211,-1.95439,1443.3,-61.0949
53209-T313-CA1-0008.abf,4,34.8211,-0.35369,2161,-59.5523
53209-T314-Sub-0017.abf,4,34.8211,-5.86422,1471.6,-59.0263
53209-T315-CA1-0027.abf,4,34.8211,-0.26294,2265.8,-59.7957
53456-T94-Sub-0008.abf,4,34.8211,0.305948,2359.5,-61.982
53458-T95-CA1-0006.abf,4,34.8211,-0.346853,2300.4,-61.4309
53458-T96-CA1-0016.abf,4,34.8211,-2.76378,1500,-61.0688
53463-T105-CA1-0007.abf,4,34.8211,0.0770044,2285.3,-62.0175
53463-T106-Sub-0025.abf,4,34.8211,-3.75367,1458.5,-60.3739
53464-T107-Sub-0007.abf,4,34.8211,0.100021,1429.5,-59.4974
57457-T274-CA1-0006.abf,4,34.8211,-2.15614,1541.3,-59.937
57457-T277-CA1 (DG)-0015.abf,4,34.8211,-1.27558,1426.7,-60.1258
57459-T279-Sub-0007.abf,4,34.8211,-0.799549,2143.9,-59.727
57459-T280-Sub-0016.abf,4,34.8211,-5.956,1452.3,-57.9885
57459-T281-Sub-0025.abf,4,34.8211,-4.56828,1451.3,-59.834
57460-T306-Sub-0010.abf,4,34.8211,-0.286122,2120.3,-61.1152
57461-T282-Sub-0006.abf,4,34.8211,-0.439954,1978.5,-60.3409
57461-T283-Sub-0015.abf,4,34.8211,-0.504372,2017.3,-60.5104
57461-T284-Sub-0024.abf,4,34.8211,-2.66455,1435.1,-59.1946
57461-T285-Sub-0033.abf,4,34.8211,0.267489,2307.2,-60.5194
57464-T201-Sub-0026.abf,4,34.8211,-0.913758,2207,-59.6331
57464-T286-Sub-0006.abf,4,34.8211,0.365419,2340.2,-60.2918
57464-T294-Sub-0035.abf,4,34.8211,-2.06078,1455.8,-60.5613
57465-T297-Sub-0009.abf,4,34.8211,0.595549,2163.7,-60.3083
57465-T298-CA1-0019.abf,4,34.8211,-0.969645,1411.4,-60.5029
57465-T299-Sub-0030.abf,4,34.8211,-2.27625,1410.2,-60
57465-T300-CA1-0040.abf,4,34.8211,-0.543421,1424.1,-60.4409
58513-T317-Sub-0008.abf,4,34.8211,-0.0862008,2124,-60.1962
58513-T318-CA1-0017.abf,4,34.8211,-2.16099,1412.6,-60.6645
58514-T320-CA1-0007.abf,4,34.8211,-0.512649,1435.5,-60.1665
