ID,Threshold Current
54241-T76-CA1-0004.abf,450
54241-T77-SUB-0014.abf,650
54242-T78-CA1-0024.abf,825
54244-T79-SUB-0006.abf,700
54249-T80-CA1-0004.abf,600
54252-T81-SUB-0005.abf,725
54253-T82-CA1-0017.abf,675
54255-T83-SUB-0006.abf,1075
54255-T84-CA1-0023.abf,850
54258-T85-CA1-0005.abf,650
54262-T87-CA1-0004.abf,850
54264-T88-SUB-0004.abf,825
54265-T89-CA1-0006.abf,800
54265-T90-SUB-0017.abf,475
54265-T91-SUB-0028.abf,700
53455-T92-CA1-0005.abf,375
53455-T93-SUB-0015.abf,675
53456-T94-Sub-0006.abf,1175
53458-T95-CA1-0004.abf,800
53458-T96-CA1-0014.abf,375
53459-T97-CA1-0004.abf,800
53459-T98-SUB-0015.abf,1150
53459-T99-CA1-0025.abf,725
53459-T100-SUB-0035.abf,775
53460-T101-CA1-0005.abf,500
53460-T102-SUB-0024.abf,1075
53460-T103-SUB-0035.abf,300
53460-T104-CA1-0049.abf,1175
53463-T105-CA1-0005.abf,750
53463-T106-Sub-0023.abf,550
53464-T107-Sub-0005.abf,1100
53466-T108-CA1-0004.abf,300
53466-T109-CA1-0019.abf,1825
53469-T110-CA1-0003.abf,650
53470-T111-Sub-0004.abf,425
53470-T112-CA1-0013.abf,300
53471-T113-CA1-0010.abf,575
53472-T114-SUB-0009.abf,675
53472-T115-CA1-0020.abf,925
53474-T116-Sub-0004.abf,700
53472-T117-SUB-0030.abf,775
53472-T118-CA1-0040.abf,625
53472-T119-CA1-0050.abf,600
53475-T120-CA1-0004.abf,500
53475-T121-Sub-0013.abf,375
54229-T122-Sub-0008.abf,300
53477-T123-SUB-0004.abf,500
54229-T124-Sub-0018.abf,650
53477-T125-SUB-0014.abf,900
53478-T126-CA1-0026.abf,350
53478-T127-SUB-0036.abf,800
54229-T128-CA1-0029.abf,400
53479-T129-Sub-0004.abf,750
54232-T130-CA1-0013.abf,650
54232-T131-SUB-0023.abf,875
54233-T132-CA1-0004.abf,625
54234-T133-Sub-0009.abf,300
54233-T134-SUB-0014.abf,800
54238-T135-Sub-0004.abf,300
54235-T136-CA1-0028.abf,475
54235-T137-SUB-0038.abf,625
54235-T138-CA1-0049.abf,750
54235-T139-SUB-0059.abf,925
54240-T140-CA1-0010.abf,550
53612-T141-CA1-0006.abf,675
53612-T142-SUB-0018.abf,700
53612-T143-SUB-0029.abf,675
53614-T144-Sub-0004.abf,550
53451-T145-CA1-0008.abf,375
53454-T146-CA1-0004.abf,525
53454-T147-SUB-0014.abf,825
53454-T148-CA1-0024.abf,725
54237-T149-CA1-0004.abf,425
54237-T150-SUB-0016.abf,1100
54237-T151-SUB-0026.abf,950
54237-T152-CA1-0040.abf,675
53446-T153-CA1-0004.abf,525
53616-T154-Sub-0014.abf,825
53446-T155-SUB-0019.abf,825
53177-T156-CA1-0005.abf,500
53174-T157-CA1-0010.abf,300
53174-T158-Sub-0019.abf,350
53177-T158-SUB-0015.abf,300
53177-T159-SUB-0025.abf,600
53174-T160-Sub-0027.abf,650
53178-T161-CA1-0004.abf,575
53178-T162-Sub-0019.abf,525
53183-T163-CA1-0006.abf,525
53180-T164-SUB-0004.abf,750
53180-T165-SUB-0016.abf,700
53180-T166-CA1-0026.abf,400
53185-T167-SUB-0013.abf,400
53186-T168-CA1-0008.abf,925
53185-T169-CA1-0028.abf,525
53186-T170-Sub-0021.abf,625
53199-T171-CA1-0005.abf,425
53186-T172-CA1-0031.abf,1175
53195-T173-Sub-0003.abf,300
53195-T174-CA1-0011.abf,650
53196-T175-CA1-0004.abf,575
53203-T176-Sub-0006.abf,425
53199-T177-SUB-0016.abf,725
53199-T178-CA1-0004.abf,575
53199-T179-SUB-0014.abf,450
53202-T180-CA1-0012.abf,500
53202-T181-SUB-0040.abf,550
53173-T182-CA1-0003.abf,575
53173-T183-Sub-0012.abf,475
53173-T184-Sub-0019.abf,300
57930-T185-CA1-0004.abf,450
57930-T186-SUB-0015.abf,750
57930-T187-CA1-0025.abf,525
57930-T188-SUB-0035.abf,675
57930-T189-SUB-0045.abf,400
57931-T190-CA1-0004.abf,300
57932-T191-CA1-0006.abf,1250
57931-T192-SUB-0014.abf,375
57931-T193-CA1-0048.abf,350
57931-T194-SUB-0039.abf,375
57933-T195-Sub-0016.abf,625
57934-T196-SUB-0004.abf,300
57934-T197-CA1-0014.abf,675
53116-T198-CA1-0004.abf,725
53115-T199-CA1-0004.abf,775
53116-T200-SUB-0014.abf,875
57464-T201-Sub-0024.abf,550
53116-T202-SUB-0024.abf,300
53118-T203-SUB-0009.abf,525
53118-T204-SUB-0019.abf,950
53118-T205-CA1-0030.abf,300
53118-T206-CA1-0042.abf,475
53118-T207-CA1-0056.abf,675
53115-T208-Sub-0014.abf,350
53119-T209-CA1-0004.abf,400
53120-T210-SUB-0004.abf,375
53119-T211-Sub-0013.abf,675
53119-T212-Sub-0004.abf,400
53120-T213-CA1-0038.abf,450
53119-T214-Sub-0014.abf,300
53120-T215-CA1-0022.abf,450
53120-T216-SUB-0032.abf,1000
53122-T217-SUB-0004.abf,475
53117-T218-CA1-0004.abf,475
53122-T219-CA1-0014.abf,625
53117-T220-Sub-0014.abf,525
53122-T221-SUB-0028.abf,425
53122-T222-SUB-0038.abf,375
53117-T223-CA1-0023.abf,575
53122-T224-CA1-0050.abf,575
53123-T225-Sub-0004.abf,300
53123-T226-CA1-0013.abf,950
53123-T227-Sub-0027.abf,750
53124-T228-CA1-0010.abf,425
53125-T229-CA1-0007.abf,425
