"Animal_ID","AM_PM","Sex","Line","Birth_Date","Animal_Info","CFC.baseline","CFC.PS1","CFC.PS2","CFC.PS3","CFC.PS4","CFA.Total","Train_threshold","Train_bout","Train_assay","Train_date","Age_at_Test","Age_Months","CFM.Bin1","CFM.Bin2","CFM.Bin3","CFM.Bin4","CFM.Bin5","CFM.Total","Test_threshold","Test_bout","Test_assay","Test_date"
53110,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53110_Pen15370_EarN",0,2.5,8.7,3.73,5,6.65,21.2,1,"CFC_Train","2023-07-06",6.04467805519054,6,15.8,44.07,29.17,13.31,0,20.42,19.3,1,"CFC_Test","2023-07-07"
53111,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53111_Pen15370_EarR",0,2.5,3.11,9.94,22.5,22.04,10.99,1,"CFC_Train","2023-08-14",7.32588699080158,7,39.29,57.8,76.04,54.26,90.19,63.5,10.37,1,"CFC_Test","2023-08-15"
53112,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53112_Pen15370_EarL",0,0,0,7.45,8.75,9.71,13.08,1,"CFC_Train","2023-08-07",7.09592641261498,7,18.3,52.6,46.15,53.85,47.29,43.67,15.77,1,"CFC_Test","2023-08-08"
53113,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53113_Pen15370_EarB",0,6.21,9.32,33.75,0,16.39,9.81,1,"CFC_Train","2023-08-08",7.12877792378449,7,49.69,56.13,46.57,26.67,6.05,37,10.48,1,"CFC_Test","2023-08-09"
53114,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53114_Pen15370_Ear2R",0,0,0,13.66,8.75,15.25,11.19,1,"CFC_Train","2023-08-09",7.16162943495401,7,11.64,48.54,48.75,45.42,33.75,37.62,12.39,1,"CFC_Test","2023-08-10"
53115,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53115_Pen15371_Ear2L",0,0,12.5,2.48,56.87,23.82,5,1,"CFC_Train","2024-07-01",17.904073587385,18,31.6,43.54,22.71,5.42,8.12,22.29,3.3,1,"CFC_Test","2024-07-02"
53116,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53116_Pen15371_Ear2R1L",0,3.11,11.25,3.11,38.75,15.93,3,NA,"CFC_Train","2024-07-01",17.904073587385,18,16.22,40.62,22.71,23.33,24.37,25.42,1.7,NA,"CFC_Test","2024-07-02"
53117,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53117_Pen15371_Ear1R2L",0.67,0,7.5,23.12,73.12,32.14,8.7,1,"CFC_Train","2024-07-09",18.1668856767411,18,51.14,56.13,72.14,84.79,82.5,69.33,4,1,"CFC_Test","2024-07-10"
53118,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53118_Pen15371_Ear2B",3.16,0,6.88,16.87,36.87,14.68,6,1,"CFC_Train","2024-07-02",17.9369250985545,18,6.44,13.54,2.08,11.04,14.61,9.54,4,1,"CFC_Test","2024-07-03"
53119,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53119_Pen15371_Ear3R",0,0,0,9.32,11.25,11.89,2.7,1,"CFC_Train","2024-07-08",18.1340341655716,18,23.08,36.17,7.71,1.25,3.34,14.33,4.2,1,"CFC_Test","2024-07-09"
53120,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53120_Pen15372_EarN",0,2.5,43.75,54.04,61.25,43.14,6,NA,"CFC_Train","2024-07-08",18.1340341655716,18,54.47,83.99,75.21,40,59.92,62.71,3,NA,"CFC_Test","2024-07-09"
53122,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53122_Pen15372_EarL",0,0,51.88,65.62,75.62,35.18,9,NA,"CFC_Train","2024-07-09",18.1668856767411,18,30.98,45.95,52.18,46.67,26.25,40.42,7,NA,"CFC_Test","2024-07-10"
53123,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53123_Pen15372_EarB",0,2.5,11.87,31.06,13.12,22.64,4.7,1,"CFC_Train","2024-07-10",18.1997371879106,18,27.03,42,33.47,29.94,64.37,39.29,2,1,"CFC_Test","2024-07-11"
53124,NA,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53124_Ear2R_Pen15372",0.67,2.48,14.91,32.92,2.48,16.54,5,1,"CFC_Train","2024-07-11",18.2325886990802,18,32.22,25.83,30.42,18.5,32.15,27.83,7,1,"CFC_Test","2024-07-12"
53125,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53125_Pen15373_Ear2L",13.14,20,60,60.62,74.37,53.96,7,1,"CFC_Train","2024-07-15",18.3639947437582,18,71.93,72.92,45.42,52.08,40.71,56.62,8,1,"CFC_Test","2024-07-16"
53126,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53126_Pen15373_Ear2R1L",1.5,8.75,28.75,52.5,61.25,45.32,9,NA,"CFC_Train","2024-07-15",18.3639947437582,18,55.09,67.29,67.92,56.25,45.51,58.42,12,NA,"CFC_Test","2024-07-16"
53127,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53127_Pen15373_Ear1R2L",5.66,18.01,20,45.34,43.12,29.89,6,1,"CFC_Train","2024-07-16",18.3968462549277,18,48.44,32.71,34.58,29.31,31.67,35.29,8,1,"CFC_Test","2024-07-17"
53128,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53128_Pen15373_Ear2B",1,0,2.5,34.16,43.75,26.96,1.9,NA,"CFC_Train","2024-07-16",18.3968462549277,18,60.71,32.71,71.87,38.05,30.42,46.75,7,NA,"CFC_Test","2024-07-17"
53129,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53129_Pen15373_Ear3R",2.83,5,5.59,38.75,49.37,32.29,5,1,"CFC_Train","2024-07-17",18.4296977660972,18,13.1,24.32,21.67,36.17,23.54,23.75,14,1,"CFC_Test","2024-07-18"
53130,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53130_Pen15374_EarN",1.5,0,31.25,22.5,75.62,40.43,7.5,1,"CFC_Train","2023-06-05",5.02628120893561,5,72.14,75.62,65.7,76.04,60.75,70.07,3.6,1,"CFC_Test","2023-06-06"
53131,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53131_Pen15374_Ear_R",0,0,2.5,20.5,18.63,19.39,14.2,1,"CFC_Train","2023-06-05",5.02628120893561,5,20.21,26.4,36.38,2.91,8.77,18.97,10.1,1,"CFC_Test","2023-06-06"
53132,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53132_Pen15374_EarL",0,0,4.97,3.73,45.62,9.43,10.3,1,"CFC_Train","2023-06-06",5.05913272010512,5,32.08,55.51,43.66,53.01,16.7,40.23,4.7,1,"CFC_Test","2023-06-07"
53133,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53133_Pen15374_EarB",0,13.04,9.94,45.34,28.57,23.96,11.3,1,"CFC_Train","2023-06-07",5.09198423127464,5,46.99,59.17,69.37,41.79,40.5,51.54,9,1,"CFC_Test","2023-06-08"
