"Animal_ID","Sex","Line","Birth.Date","Comments","Stage","Identical_object_right","Identical_object_left","Novel_object","Familiar_object","Total_distance_m","Identical_object_right_investigation_count","Identical_object_right_investigation_time_s","Identical_object_left_investigation_count","Identical_object_left_investigation_time_s","Novel_object_investigation_count","Novel_object_investigation_time_s","Familiar_object_investigation_count","Familiar_object_investigation_time_s","Test_Date","Age_at_Test"
53115,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Testing",NA,"","Left Dome","Right Tower",14.29,NA,NA,NA,NA,25,103.9,19,67.2,2024-02-06,13
53115,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Familiarisation","Right Tower","Left Tower","","",15.14,56,61.1,46,76.1,NA,NA,NA,NA,2024-03-19,14
53115,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Familiarisation",NA,"Left Dome","","",15.21,41,84.2,28,100.1,NA,NA,NA,NA,2024-02-06,13
53115,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Testing","","","Left Dome","Right Tower",10.257,NA,NA,NA,NA,62,101.9,17,28.7,2024-03-19,14
53116,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Testing",NA,"","Left Dome","Right Tower",17.905,NA,NA,NA,NA,53,93.9,23,80.9,2024-02-06,13
53116,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Familiarisation","Right Tower","Left Tower","","",9.265,54,203,17,45.3,NA,NA,NA,NA,2024-03-19,14
53116,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Familiarisation",NA,"Left Dome","","",11.883,44,102.9,28,79.9,NA,NA,NA,NA,2024-02-06,13
53116,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Testing","","","Left Dome","Right Tower",12.008,NA,NA,NA,NA,37,37.3,63,124.9,2024-03-19,14
53117,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Incorrect mouse# was entered for this mouse on train day, 53119
","Testing","","","Left Dome","Right Tower",13.983,NA,NA,NA,NA,30,50.3,42,90.5,2024-03-19,14
53117,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Incorrect mouse# was entered for this mouse on train day, 53119
","Testing",NA,"","Left Dome","Right Tower",16.491,NA,NA,NA,NA,46,113,47,85.2,2024-02-06,13
53117,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Incorrect mouse# was entered for this mouse on train day, 53119
","Familiarisation","Right Tower","Left Tower","","",16.513,60,90.4,28,38.8,NA,NA,NA,NA,2024-03-19,14
53117,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Incorrect mouse# was entered for this mouse on train day, 53119
","Familiarisation",NA,"Left Dome","","",13.613,43,109.8,42,104.6,NA,NA,NA,NA,2024-02-06,13
53118,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Testing","","","Left Dome","Right Tower",5.572,NA,NA,NA,NA,133,189,16,42.5,2024-03-19,14
53118,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Familiarisation","Right Tower","Left Tower","","",10.321,34,83.9,37,99.8,NA,NA,NA,NA,2024-03-19,14
53118,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Familiarisation",NA,"Left Dome","","",7.825,46,148.8,42,104.2,NA,NA,NA,NA,2024-02-06,13
53118,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM","Testing",NA,"","Left Dome","Right Tower",8.665,NA,NA,NA,NA,11,33.1,21,36,2024-02-06,13
53119,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Testing",NA,"","Left Dome","Right Tower",23.045,NA,NA,NA,NA,36,40.1,25,25.7,2024-02-06,13
53119,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Testing","","","Left Dome","Right Tower",10.358,NA,NA,NA,NA,12,15.9,52,106.6,2024-03-19,14
53119,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Familiarisation",NA,"Left Dome","","",14.586,22,32.3,9,20,NA,NA,NA,NA,2024-02-06,13
53119,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Familiarisation","Right Tower","Left Tower","","",11.346,24,46.2,24,26.8,NA,NA,NA,NA,2024-03-19,14
53120,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Familiarisation",NA,"Left Dome","","",6.708,58,83,22,28.7,NA,NA,NA,NA,2024-02-06,13
53120,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Familiarisation","Right Tower","Left Tower","","",14.778,64,109,35,43.2,NA,NA,NA,NA,2024-03-19,14
53120,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Testing","","","Left Dome","Right Tower",9.059,NA,NA,NA,NA,14,25.2,70,211.5,2024-03-19,14
53120,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Testing",NA,"","Left Dome","Right Tower",5.937,NA,NA,NA,NA,17,17.1,43,145.2,2024-02-06,13
53121,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Found dead 7/2","Familiarisation","Right Tower","Left Tower","","",18.279,42,48.8,45,85.6,NA,NA,NA,NA,2024-03-19,14
53121,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Found dead 7/2","Testing","","","Left Dome","Right Tower",16.331,NA,NA,NA,NA,44,68.8,40,81,2024-03-19,14
53121,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Found dead 7/2","Testing",NA,"","Left Dome","Right Tower",14.337,NA,NA,NA,NA,49,87.2,23,57,2024-02-06,13
53121,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Found dead 7/2","Familiarisation",NA,"Left Dome","","",19.455,49,98.5,45,122.5,NA,NA,NA,NA,2024-02-06,13
53122,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Incorrect mouse# was entered for this mouse on train day, 53120
","Testing","","","Left Dome","Right Tower",14.29,NA,NA,NA,NA,51,86.2,34,43.1,2024-03-19,14
53122,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Incorrect mouse# was entered for this mouse on train day, 53120
","Familiarisation",NA,"Left Dome","","",13.555,24,54.7,42,97,NA,NA,NA,NA,2024-02-06,13
53122,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Incorrect mouse# was entered for this mouse on train day, 53120
","Testing",NA,"","Left Dome","Right Tower",13.58,NA,NA,NA,NA,17,36.6,19,37.4,2024-02-06,13
53122,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Incorrect mouse# was entered for this mouse on train day, 53120
","Familiarisation","Right Tower","Left Tower","","",20.318,35,68.2,34,58.6,NA,NA,NA,NA,2024-03-19,14
53123,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Mouse did not arrive for habituation until 8 am on test day.
","Familiarisation","Right Tower","Left Tower","","",3.611,53,82.8,11,15,NA,NA,NA,NA,2024-03-19,14
53123,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Mouse did not arrive for habituation until 8 am on test day.
","Testing","","","Left Dome","Right Tower",3.807,NA,NA,NA,NA,14,17,15,15.1,2024-03-19,14
53123,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Mouse did not arrive for habituation until 8 am on test day.
","Familiarisation",NA,"Left Dome","","",9.306,42,94.3,13,54.3,NA,NA,NA,NA,2024-02-06,13
53123,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Mouse did not arrive for habituation until 8 am on test day.
","Testing",NA,"","Left Dome","Right Tower",5.179,NA,NA,NA,NA,6,9.8,6,6.5,2024-02-06,13
53124,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq PM
","Familiarisation","Right Tower","Left Tower","","",12.4,25,49.9,28,42.3,NA,NA,NA,NA,2024-03-19,14
53124,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq PM
","Testing",NA,"","Left Dome","Right Tower",14.716,NA,NA,NA,NA,24,53,23,86.2,2024-02-06,13
53124,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq PM
","Familiarisation",NA,"Left Dome","","",11.686,45,87.5,39,99.1,NA,NA,NA,NA,2024-02-06,13
53124,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq PM
","Testing","","","Left Dome","Right Tower",6.875,NA,NA,NA,NA,15,27.6,11,28.3,2024-03-19,14
53125,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Testing","","","Left Dome","Right Tower",3.947,NA,NA,NA,NA,3,3.9,10,5.4,2024-03-19,14
53125,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Familiarisation",NA,"Left Dome","","",11.452,40,100.3,35,49.5,NA,NA,NA,NA,2024-02-06,13
53125,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Testing",NA,"","Left Dome","Right Tower",4.934,NA,NA,NA,NA,19,19.6,5,5.1,2024-02-06,13
53125,"Female","(CByB6F1/J x C3D2F1/J)/J",2023-01-03," : Patch-Seq AM
","Familiarisation","Right Tower","Left Tower","","",8.115,9,18.8,27,27.3,NA,NA,NA,NA,2024-03-19,14
