"Animal_ID","Age_Months","Sex","Line","Birth_Date","Pen","GripStrength_Test_Date","GripStrength_Trial1","GripStrength_Trial2","GripStrength_Trial3","GripStrength_TrialAverage","GripStrength_Comments","InclinedScreen_Test_Date","InclinedScreen_Trial1","InclinedScreen_Trial2","InclinedScreen_Trial3","InclinedScreen_TrialAverage","InclinedScreen_Comments","NarrowBeam_Test_Date","NarrowBeam_Trial1","NarrowBeam_Trial2","NarrowBeam_Trial3","NarrowBeam_TrialAverage","NarrowBeam_Comments","Sensorimotor_composite"
53115,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15371,"2024-06-27",-1.88,-1.83,-2.41,-2.04,NA,"2024-06-27",13.84,18.53,17.4,16.59,NA,"2024-06-27",31.85,38.91,18.5,29.75333333,"1_Ledge 2_Ledge 3_",-0.0504103086753719
53116,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15371,"2024-06-27",-2.15,-2.61,-1.96,-2.24,NA,"2024-06-27",10.12,4.28,10.31,8.236666667,NA,"2024-06-27",45.62,59.18,50.22,51.67333333,"1_Ledge 2_Ledge 3_Box",-0.16028399216411
53117,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15371,"2024-06-27",-2.11,-2.22,-2.06,-2.13,NA,"2024-06-27",13.43,19.04,14.96,15.81,NA,"2024-06-27",180,34.22,66.5,93.57333333,"1_DNM 2_Ledge 3_Box",0.388364987773703
53118,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15371,"2024-06-27",-1.91,-2.12,-1.98,-2.003333333,NA,"2024-06-27",2.44,16.22,20.84,13.16666667,NA,"2024-06-27",60.84,16.53,20.88,32.75,"1_Box 2_Ledge 3_Ledge",-0.0916748656576699
53119,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15371,"2024-06-27",-2.26,-2.27,-2.16,-2.23,NA,"2024-06-27",6.34,13.28,25.18,14.93333333,NA,"2024-06-27",45.88,60.03,3.9,36.60333333,"1_Box 2_Box 3_Ledge",-0.116408505307836
53120,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15372,"2024-06-27",-2.31,-1.98,-2.38,-2.223333333,NA,"2024-06-27",14.25,16.21,52.59,27.68333333,NA,"2024-06-27",180,180,180,180,"1_DNM 2_DNM 3_DNM",1.29691159265503
53121,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15372,"2024-06-27",-2.1,-1.75,-1.88,-1.91,NA,"2024-06-27",4.1,12.44,16.65,11.06333333,NA,"2024-06-27",4.38,6.15,19.5,10.01,"1_Fell @4.38 2_Fell @6.15 3_Ledge",-0.277757314420098
53122,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15372,"2024-06-27",-1.8,-2.12,-1.92,-1.946666667,NA,"2024-06-27",9.69,11.53,8.43,9.883333333,NA,"2024-06-27",9,66.69,14.03,29.90666667,"1_Fell @9 2_Ledge 3_Ledge",-0.166507547665769
53123,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15372,"2024-06-27",-1.93,-2,-2.16,-2.03,NA,"2024-06-27",22.69,53.66,43.75,40.03333333,NA,"2024-06-27",180,180,93.03,151.01,"1_DNM 2_DNM 3_Box",1.44254945371163
53124,18,"Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",15372,"2024-06-27",-1.89,-2.56,-1.89,-2.113333333,NA,"2024-06-27",31.53,3.06,17.66,17.41666667,NA,"2024-06-27",23.62,69.97,25.35,39.64666667,"1_Fell @23.62 2_Box 3_Ledge",0.0146297820382474
