"Animal_ID","Test_Date","Sex","Line","Birth_Date","Age_at_Test","Age_Months","Weight","YM_Distance","YM_Mean_speed","YM_Spontaneous_alternations","YM_Total_arm_entries","YM_Alternating_Arm_Returns","YM_Same_Arm_Returns","YM_Prct_Spontaneous_Alternations","YM_Prct_Alternating_Arm_Returns"
53115,"2024-01-23","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",12.6478318002628,13,NA,16.953,0.035,13,31,8,31,45,28
53115,"2024-02-26","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",13.7647831800263,14,36.94,13.566,0.028,17,26,5,26,71,21
53115,"2024-03-05","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.0275952693824,14,NA,11.046,0.023,13,22,2,22,65,10
53115,"2024-04-01","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.9145860709593,15,NA,12.786,0.027,21,34,3,34,66,9
53115,"2024-05-07","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.0972404730618,16,29.86,11.738,0.024,21,32,7,32,70,23
53115,"2024-06-03","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.9842312746386,17,29.3,10.88,0.023,16,26,5,26,67,21
53116,"2024-01-23","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",12.6478318002628,13,NA,16.776,0.035,14,26,6,26,58,25
53116,"2024-02-26","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",13.7647831800263,14,30.17,8.887,0.019,17,25,4,25,74,17
53116,"2024-03-05","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.0275952693824,14,NA,13.423,0.028,14,26,8,26,58,33
53116,"2024-04-01","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.9145860709593,15,NA,12.615,0.026,15,31,8,31,52,28
53116,"2024-05-07","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.0972404730618,16,40.72,8.68,0.018,14,25,5,25,61,22
53116,"2024-06-03","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.9842312746386,17,37.28,12.922,0.027,14,34,10,34,44,31
53117,"2024-01-23","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",12.6478318002628,13,NA,0.956,0.002,0,0,0,0,0,0
53117,"2024-02-26","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",13.7647831800263,14,46.1,10.062,0.021,13,21,6,21,68,32
53117,"2024-03-05","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.0275952693824,14,NA,13.886,0.029,18,28,8,28,69,31
53117,"2024-04-01","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.9145860709593,15,NA,10.036,0.021,18,30,6,30,64,21
53117,"2024-05-07","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.0972404730618,16,36.44,9.745,0.02,15,25,6,25,65,26
53117,"2024-06-03","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.9842312746386,17,36.14,10.491,0.022,16,26,8,26,67,33
53118,"2024-01-23","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",12.6478318002628,13,NA,11.742,0.024,8,18,7,18,50,44
53118,"2024-02-26","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",13.7647831800263,14,37.56,10.468,0.022,18,32,6,32,60,20
53118,"2024-03-05","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.0275952693824,14,NA,9.439,0.02,11,18,4,18,69,25
53118,"2024-04-01","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.9145860709593,15,NA,8.121,0.017,12,23,5,23,57,24
53118,"2024-05-07","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.0972404730618,16,50.28,7.621,0.016,9,19,3,19,53,18
53118,"2024-06-03","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.9842312746386,17,50.5,8.71,0.018,15,20,2,20,83,11
53119,"2024-01-23","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",12.6478318002628,13,NA,3.325,0.007,0,1,0,1,0,0
53119,"2024-02-26","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",13.7647831800263,14,34.15,17.923,0.037,18,37,17,37,51,49
53119,"2024-03-05","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.0275952693824,14,NA,4.772,0.01,4,9,3,9,57,43
53119,"2024-04-01","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.9145860709593,15,NA,9.135,0.019,17,23,4,23,81,19
53119,"2024-05-07","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.0972404730618,16,34.26,11.162,0.023,13,27,11,27,52,44
53119,"2024-06-03","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.9842312746386,17,36.03,12.76,0.027,17,30,11,30,61,39
53120,"2024-01-23","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",12.6478318002628,13,NA,2.082,0.004,0,2,0,2,NA,NA
53120,"2024-02-26","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",13.7647831800263,14,38.74,8.643,0.018,16,24,5,24,73,23
53120,"2024-03-05","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.0275952693824,14,NA,10.456,0.022,7,17,8,17,47,53
53120,"2024-04-01","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",14.9145860709593,15,NA,12.158,0.025,18,32,12,32,60,40
53120,"2024-05-07","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.0972404730618,16,40.45,12.531,0.026,23,31,6,31,79,21
53120,"2024-06-03","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",16.9842312746386,17,44.03,8.067,0.017,14,20,3,20,78,17
53121,"2024-01-23","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03",12.6478318002628,13,NA,5.038,0.01,0,0,0,0,0,0
