Cell ID,,,R1S1 mean
53115-T199-CA1-0001.abf,,,-33.10831833
53115-T208-Sub-0011.abf,,,-40.98237228
53116-T198-CA1-0001.abf,,,-43.32725143
53116-T200-SUB-0011.abf,,,-45.98325729
53116-T202-SUB-0021.abf,,,-52.88611984
53117-T218-CA1-0001.abf,,,-11.37740517
53117-T220-Sub-0011.abf,,,-37.99945068
53117-T223-CA1-0020.abf,,,-41.30005646
53118-T203-SUB-0006.abf,,,-51.97150421
53118-T204-SUB-0016.abf,,,-39.56154633
53118-T205-CA1-0027.abf,,,-38.55363083
53118-T206-CA1-0039.abf,,,-28.75053787
53118-T207-CA1-0053.abf,,,-47.73135376
53119-T209-CA1-0001.abf,,,-32.85190582
53119-T211-Sub-0010.abf,,,-42.11100769
53119-T212-Sub-0001.abf,,,-62.46195602
53119-T214-Sub-0011.abf,,,-70.0549469
53120-T210-SUB-0001.abf,,,-42.06716919
53120-T213-CA1-0035.abf,,,-42.07255554
53120-T215-CA1-0019.abf,,,-35.65790939
53120-T216-SUB-0029.abf,,,-51.06597137
53122-T217-SUB-0001.abf,,,-41.60925674
53122-T219-CA1-0011.abf,,,-48.75632095
53122-T221-SUB-0025.abf,,,-42.89413071
53122-T222-SUB-0035.abf,,,-46.18147659
53122-T224-CA1-0047.abf,,,-33.84801483
53123-T225-Sub-0001.abf,,,-60.43490601
53123-T226-CA1-0010.abf,,,-26.19941521
53123-T227-Sub-0023.abf,,,-52.36079025
53124-T228-CA1-0007.abf,,,-39.86024094
53125-T229-CA1-0004.abf,,,-38.53036499
53125-T231-SUB-0011.abf,,,-44.84909439
53125-T233-CA1-0021.abf,,,-31.78680611
53125-T235-CA1-0031.abf,,,-54.0123291
53125-T236-SUB-0041.abf,,,-47.96194458
53125-T238-SUB-0051.abf,,,-45.62966537
53126-T230-Sub-0002.abf,,,-27.05617332
53126-T232-Sub-0014.abf,,,-21.71272469
53126-T234-Sub-0033.abf,,,-9.970366478
53127-T237-CA1-0001.abf,,,-34.03887177
53127-T240-Sub-0010.abf,,,-50.56637192
53127-T243-Sub-0020.abf,,,-43.69396973
53128-T239-SUB-0001.abf,,,-44.18513107
53128-T241-CA1-0012.abf,,,-48.31035995
53128-T242-SUB-0022.abf,,,-47.68689346
53128-T244-CA1-0001.abf,,,-61.73152161
53128-T245-SUB-0011.abf,,,-43.61622238
53129-T246-Sub-0013.abf,,,-35.9440918
53173-T182-CA1-0001.abf,,,-48.13661957
53173-T183-Sub-0009.abf,,,-49.95841599
53173-T184-Sub-0016.abf,,,-36.68095016
53174-T157-CA1-0007.abf,,,-52.18403244
53174-T158-Sub-0016.abf,,,-46.6752739
53174-T160-Sub-0024.abf,,,-51.94955826
53177-T156-CA1-0002.abf,,,-47.78940964
53177-T158-SUB-0012.abf,,,-57.04792786
